Zirport ID,Name,City,Country ,IATA,ICAO,Latitude,Longitude,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
10169,Madison County Airport,London,United States,\N,KUYF,39.93,-83.46,1082,-5,A,\N,airport,OurAirports
10185,Paso Robles Municipal Airport,Paso Robles,United States,PRB,KPRB,35.67,-120.63,840,-8,A,\N,airport,OurAirports
10360,Half Moon Bay Airport,Half Moon Bay,United States,HAF,KHAF,37.51,-122.5,66,-8,A,\N,airport,OurAirports
10371,General WM J Fox Airfield,Lancaster,United States,WJF,KWJF,34.74,-118.22,2351,-8,A,\N,airport,OurAirports
10831,Person County Airport,Roxboro,United States,\N,KTDF,36.28,-78.98,609,-5,A,\N,airport,OurAirports
11004,Talladega Municipal Airport,Talladega,United States,ASN,KASN,33.57,-86.05,529,-5,A,\N,airport,OurAirports
11005,Greenville Downtown Airport,Greenville,United States,GMU,KGMU,34.85,-82.35,1048,-4,A,\N,airport,OurAirports
11008,Mankato Regional Airport,Mankato,United States,\N,KMKT,44.22,-93.92,1021,-6,A,\N,airport,OurAirports
11010,Troy Municipal Airport at N Kenneth Campbell Field,Troy,United States,TOI,KTOI,31.86,-86.01,398,-5,A,\N,airport,OurAirports
11011,Merkel Field Sylacauga Municipal Airport,Sylacauga,United States,\N,KSCD,33.17,-86.31,569,-5,A,\N,airport,OurAirports
11012,Enterprise Municipal Airport,Enterprise,United States,ETS,KEDN,31.3,-85.9,361,-5,A,\N,airport,OurAirports
11017,Ryan Field,Tucson,United States,\N,KRYN,32.14,-111.18,2417,-7,A,\N,airport,OurAirports
11022,Thomas C Russell Field,Alexander City,United States,ALX,KALX,32.91,-85.96,686,-5,A,\N,airport,OurAirports
11035,Meriden Markham Municipal Airport,Meriden,United States,\N,KMMK,41.51,-72.83,103,-5,A,\N,airport,OurAirports
11067,Ridgely Airpark,Ridgely,United States,\N,KRJD,38.97,-75.87,64,-5,A,\N,airport,OurAirports
11068,New Castle Henry Co. Municipal Airport,New Castle,United States,\N,KUWL,39.88,-85.33,1088,-4,A,\N,airport,OurAirports
11069,Scott City Municipal Airport,Scott City,United States,\N,KTQK,38.47,-100.89,2963,-5,A,\N,airport,OurAirports
11070,Brewster Field,Holdredge,United States,HDE,KHDE,40.45,-99.34,2313,-5,A,\N,airport,OurAirports
11071,Pratt Regional Airport,Pratt,United States,PTT,KPTT,37.7,-98.75,1953,-5,A,\N,airport,OurAirports
11073,Wahoo Municipal Airport,Wahoo,United States,\N,KAHQ,41.24,-96.59,1224,-5,A,\N,airport,OurAirports
11074,Jim Kelly Field,Lexington,United States,LXN,KLXN,40.79,-99.78,2413,-5,A,\N,airport,OurAirports
11075,Sublette Municipal Airport,Sublette,United States,\N,K19S,37.49,-100.83,2908,-5,A,\N,airport,OurAirports
11076,Council Bluffs Municipal Airport,Council Bluffs,United States,CBF,KCBF,41.26,-95.76,1253,-5,A,\N,airport,OurAirports
11077,Kokomo Municipal Airport,Kokomo,United States,OKK,KOKK,40.53,-86.06,830,-4,A,\N,airport,OurAirports
11078,Neodesha Municipal Airport,Neodesha,United States,\N,K2K7,37.44,-95.65,841,-5,A,\N,airport,OurAirports
11079,King Ranch Airport,Sutton,United States,\N,AK59,61.8,-148.35,1350,-8,A,\N,airport,OurAirports
11080,Elkhart Morton County Airport,Elkhart,United States,\N,KEHA,37,-101.88,3622,-5,A,\N,airport,OurAirports
11081,Front Range Airport,Denver,United States,\N,KFTG,39.79,-104.54,5512,-6,A,\N,airport,OurAirports
11082,Galesburg Municipal Airport,Galesburg,United States,GBG,KGBG,40.94,-90.43,764,-5,A,\N,airport,OurAirports
